0,-1.9954,0.67873
0.011731,-1.8386,0.68634
0.024555,-1.7839,0.70653
0.040821,-1.77,0.72433
0.057662,-1.6325,0.73307
0.07402,-1.6253,0.76058
0.093687,-1.6251,0.78062
0.11243,-1.5568,0.79692
0.13028,-1.5216,0.82194
0.14953,-1.4131,0.84101
0.169,-1.3126,0.86834
0.1912,-1.2625,0.90172
0.21574,-1.2931,0.93887
0.24061,-1.2701,0.96542
0.2628,-1.3507,1.0044
0.28483,-1.3612,1.0295
0.30308,-1.3031,1.0552
0.3206,-1.264,1.087
0.33966,-1.1911,1.1151
0.35934,-1.0463,1.1405
0.38076,-0.95273,1.1769
0.40664,-0.91215,1.2154
0.43472,-0.87165,1.25
0.4626,-0.84251,1.2861
0.49046,-0.90833,1.3288
0.51794,-0.96489,1.3606
0.54105,-0.91731,1.3846
0.56114,-0.90706,1.4186
0.58269,-0.87425,1.4474
0.60393,-0.93089,1.4826
0.6257,-0.95679,1.5069
0.6445,-0.93487,1.5284
0.662,-1.0324,1.5578
0.68002,-1.0552,1.5727
0.69445,-1.0897,1.5899
0.7083,-1.1981,1.607
0.72123,-1.2595,1.6149
0.7314,-1.5152,1.6281
0.74054,-2.0181,1.6327
0.74489,-2.6882,1.6248
0.74318,-3.9194,1.6118
0.73781,-3.6603+3.1416i,1.5953
0.73019,-2.4682+3.1416i,1.5753
0.72036,-2.4058+3.1416i,1.539
0.70709,-2.0537+3.1416i,1.5112
0.69495,-2.0263+3.1416i,1.4671
0.68059,-2.2574+3.1416i,1.4195
0.6671,-2.4019+3.1416i,1.3767
0.65681,-2.5125+3.1416i,1.3297
0.6481,-2.4533+3.1416i,1.2826
0.64051,-2.0884+3.1416i,1.237
0.63273,-2.0125+3.1416i,1.1757
0.62185,-2.2553+3.1416i,1.1115
0.61085,-3.1294+3.1416i,1.05
0.60309,-3.5702+3.1416i,1.0112
0.60111,-2.8216+3.1416i,0.97315
0.60005,-2.8111+3.1416i,0.91477
0.59571,-3.1959+3.1416i,0.86525
0.59162,-3.5441+3.1416i,0.82925
0.58949,-3.1811+3.1416i,0.80304
0.58836,-4.1135,0.75056
0.58582,-4.9378+3.1416i,0.76019
0.58887,-4.1985+3.1416i,0.73571
0.58891,-3.3984+3.1416i,0.72881
0.58815,-3.3003+3.1416i,0.71766
0.5856,-4.6187+3.1416i,0.70797
0.58288,-3.7634,0.71377
0.58279,-3.3208,0.7323
0.58547,-2.5604,0.73678
0.58873,-2.0858,0.75627
0.59535,-1.7595,0.78213
0.60548,-1.6469,0.82142
0.6189,-1.4277,0.84678
0.63279,-1.2473,0.88806
0.64977,-0.96118,0.92167
0.66947,-0.78271,0.9838
0.6958,-0.64011,1.0457
0.72597,-0.56927,1.1188
0.75906,-0.58854,1.1976
0.79216,-0.59162,1.2639
0.82152,-0.60753,1.3359
0.84868,-0.61544,1.4055
0.87354,-0.55435,1.4688
0.8968,-0.53496,1.5412
0.92132,-0.55255,1.6094
0.94522,-0.55787,1.6691
0.96711,-0.54571,1.7246
0.98778,-0.4958,1.775
1.008,-0.52047,1.8297
1.0293,-0.49732,1.8713
